"naics_code","naics_desc","net_income_private","net_income_public","net_income_total","deprec_private","deprec_public","deprec_total","nonaccrued_private","nonaccrued_public","nonaccrued_total","donations_private","donations_public","donations_total","indirect_business_taxes","subsidies","gross_prod_nonrev","stat_discrepancy","gross_prod"
"6112000"," Junior Colleges",229271.034994618,0,229271.034994618,61419,NA,61419,4479,NA,4479,1217,NA,1217,44509,2417,338478.034994618,NA,338478.034994618
"6114000"," Business Schools and Computer and Management Trai",33227.616645578,0,33227.616645578,2170,NA,2170,1477,NA,1477,69,NA,69,2006,219,38730.616645578,NA,38730.616645578
"6115000"," Technical and Trade Schools",114264.351475893,0,114264.351475893,11828,NA,11828,14167,NA,14167,5,NA,5,7022,654,146632.351475893,NA,146632.351475893
"6116000"," Other Schools and Instruction",30465.1308757153,7619.19918941471,38084.33006513,1587,1954,3541,636,0,636,39,106,145,792,235,42963.33006513,NA,42963.33006513
"6117000"," Educational Support Services",59702.5298105796,0,59702.5298105796,2235,NA,2235,223,NA,223,257,NA,257,2299,333,64383.5298105796,NA,64383.5298105796
"62","Health Care and Social Services",3014706,84242.1183692931,3098948.11836929,242679,7931,250610,134076,0,134076,4211,0,4211,176368,23259,3640954.11836929,NA,3640954.11836929
"6210000"," Ambulatory Health Care Services",1549107.29373406,0,1549107.29373406,135185,0,135185,24017,0,24017,3439,0,3439,101557,11178,1802127.29373406,NA,1802127.29373406
"6211000"," Offices of Physicians",911792.528145033,0,911792.528145033,57064,NA,57064,11362,NA,11362,889,NA,889,50711,6544,1025274.52814503,NA,1025274.52814503
"6212000"," Offices of Dentists",54427.962666299,0,54427.962666299,4242,NA,4242,478,NA,478,75,NA,75,2918,426,61714.962666299,NA,61714.962666299
"6213000"," Offices of Other Health Practitioners",80294.1275108568,0,80294.1275108568,4289,NA,4289,740,NA,740,140,NA,140,2829,575,87717.1275108568,NA,87717.1275108568
"6214000"," Outpatient Care Centers",160939.304694286,0,160939.304694286,38590,NA,38590,7105,NA,7105,1607,NA,1607,23156,987,230410.304694286,NA,230410.304694286
"6215000"," Medical and Diagnostic Laboratories",225312.852471221,0,225312.852471221,24062,NA,24062,1943,NA,1943,258,NA,258,16578,1597,266556.852471221,NA,266556.852471221
"6216000"," Home Health Care Services",75942.5761632315,0,75942.5761632315,2546,NA,2546,1518,NA,1518,399,NA,399,1875,647,81633.5761632315,NA,81633.5761632315
"6219000"," Other Ambulatory Health Care Services",40397.9420831323,0,40397.9420831323,4392,NA,4392,871,NA,871,71,NA,71,3490,402,48819.9420831323,NA,48819.9420831323
"6220000"," Hospitals",1262911.27992004,84242.1183692931,1347153.39828933,99098,7931,107029,108496,0,108496,395,0,395,69690,10494,1622269.39828933,NA,1622269.39828933
"6221000"," General Medical and Surgical Hospitals",1262911.27992004,84242.1183692931,1347153.39828933,99098,7931,107029,108496,0,108496,395,0,395,69690,10494,1622269.39828933,NA,1622269.39828933
"6222000"," Psychiatric and Substance Abuse Hospitals",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"6223000"," Specialty (except Psychiatric and Substance Abuse",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"6230000"," Nursing and Residential Care Facilities",85143.2500861653,0,85143.2500861653,4936,0,4936,1497,0,1497,190,0,190,3339,680,94425.2500861653,NA,94425.2500861653
"6231000"," Nursing Care Facilities",14328.8854897636,0,14328.8854897636,463,NA,463,1,NA,1,5,NA,5,384,129,15052.8854897636,NA,15052.8854897636
"6232000"," ""Residential Mental Retardation, Mental Health an",17012.9693665127,0,17012.9693665127,1580,NA,1580,445,NA,445,72,NA,72,960,186,19883.9693665127,NA,19883.9693665127
"6233000"," Community Care Facilities for the Elderly",53801.395229889,0,53801.395229889,2893,NA,2893,1051,NA,1051,113,NA,113,1995,365,59488.395229889,NA,59488.395229889
"6240000"," Social Assistance",117544.176259737,0,117544.176259737,3460,0,3460,66,0,66,187,0,187,1782,907,122132.176259737,NA,122132.176259737
"6241000"," Individual and Family Services",117544.176259737,0,117544.176259737,3460,NA,3460,66,NA,66,187,NA,187,1782,907,122132.176259737,NA,122132.176259737
"6242000"," ""Community Food and Housing, and Emergency and Ot",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"6243000"," Vocational Rehabilitation Services",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"6244000"," Child Day Care Services",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"71","Art, Entertainment and Recreation",60524,5921.46060317082,66445.4606031708,15438,988,16426,565,0,565,347,50,397,11799,517,95115.4606031708,NA,95115.4606031708
"7110000"," ""Performing Arts, Spectator Sports, and Related I",42135.5114516,5921.46060317082,48056.9720547708,4670,988,5658,283,0,283,238,50,288,3742,342,57685.9720547708,NA,57685.9720547708
"7111000"," Performing Arts Companies",21059.2250418961,5921.46060317082,26980.6856450669,3318,988,4306,153,0,153,24,50,74,2640,220,33933.6856450669,NA,33933.6856450669
"7113000"," ""Promoters of Performing Arts, Sports, and Simila",13178.306679435,0,13178.306679435,784,NA,784,115,NA,115,186,NA,186,633,89,14807.306679435,NA,14807.306679435
"7114000"," ""Agents and Managers for Artists, Athletes, Enter",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"7115000"," ""Independent Artists, Writers, and Performers""",7897.97973026893,0,7897.97973026893,568,NA,568,15,NA,15,28,NA,28,469,33,8944.97973026893,NA,8944.97973026893
"7120000"," ""Museums, Historical Sites, and Similar Instituti",4457.88277072859,0,4457.88277072859,354,0,354,36,0,36,0,0,0,615,71,5391.88277072859,NA,5391.88277072859
"7121000"," ""Museums, Historical Sites, and Similar Instituti",4457.88277072859,0,4457.88277072859,354,NA,354,36,NA,36,0,NA,0,615,71,5391.88277072859,NA,5391.88277072859
"7130000"," ""Amusement, Gambling, and Recreation Industries""",13930.6057776714,0,13930.6057776714,10414,0,10414,246,0,246,109,0,109,7442,104,32037.6057776714,NA,32037.6057776714
"7131000"," Amusement Parks and Arcades",291.044848775038,0,291.044848775038,395,NA,395,0,NA,0,0,NA,0,519,-2,1207.04484877504,NA,1207.04484877504
"7132000"," Gambling Industries",926.335727396058,0,926.335727396058,609,NA,609,155,NA,155,9,NA,9,292,1,1990.33572739606,NA,1990.33572739606
"7139000"," Other Amusement and Recreation Industries",12713.2252015003,0,12713.2252015003,9410,NA,9410,91,NA,91,100,NA,100,6631,105,28840.2252015003,NA,28840.2252015003
"72"," Accommodation and Food Services",1596251,0,1596251,187948,0,187948,2149,0,2149,1169,0,1169,129502,12306,1904713,NA,1904713
"7211000"," Traveler Accommodation",375208.209275254,0,375208.209275254,101814,0,101814,1134,0,1134,126,0,126,71776,2890,547168.209275254,NA,547168.209275254
"7211100"," Hotels (except Casino Hotels) and Motels",375208.209275254,0,375208.209275254,101814,NA,101814,1134,NA,1134,126,NA,126,71776,2890,547168.209275254,NA,547168.209275254
"7211200"," Casino Hotels",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"7211900"," Other Traveler Accommodation",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"7212000"," RV (Recreational Vehicle) Parks and Recreational",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"7213000"," Rooming and Boarding Houses",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"7220000"," Food Services and Drinking Places",1221042.79072475,0,1221042.79072475,86134,0,86134,1015,0,1015,1043,0,1043,57726,9416,1357544.79072475,NA,1357544.79072475
"7221000"," Full-Service Restaurants",1221042.79072475,0,1221042.79072475,86134,NA,86134,1015,NA,1015,1043,NA,1043,57726,9416,1357544.79072475,NA,1357544.79072475
"7222000"," Limited-Service Eating Places",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"7223000"," Special Food Services",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"7224000"," Drinking Places (Alcoholic Beverages)",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"81","Other Services",359852,0,359852,28822,0,28822,6434,0,6434,897,0,897,20654,2802,413857,NA,413857
"8110000"," Repair and Maintenance",156892.825386546,0,156892.825386546,11076,0,11076,2990,0,2990,261,0,261,6934,1174,176979.825386546,NA,176979.825386546
"8111000"," Automotive Repair and Maintenance",67466.8497126204,0,67466.8497126204,5579,NA,5579,373,NA,373,194,NA,194,2624,490,75746.8497126204,NA,75746.8497126204
"8112000"," Electronic and Precision Equipment Repair and Mai",34036.053306889,0,34036.053306889,2583,NA,2583,272,NA,272,19,NA,19,2258,276,38892.053306889,NA,38892.053306889
"8113000"," Commercial and Industrial Machinery and Equipment",46558.8778839148,0,46558.8778839148,2425,NA,2425,2056,NA,2056,48,NA,48,1674,340,52421.8778839148,NA,52421.8778839148
"8114000"," Personal and Household Goods Repair and Maintenan",8831.04448312151,0,8831.04448312151,489,NA,489,289,NA,289,0,NA,0,378,68,9919.04448312151,NA,9919.04448312151
"8120000"," Personal and Laundry Services",121889.473488221,0,121889.473488221,9406,0,9406,3104,0,3104,420,0,420,7666,1040,141445.473488221,NA,141445.473488221
"8121000"," Personal Care Services",32676.9703715697,0,32676.9703715697,2125,NA,2125,176,NA,176,244,NA,244,1724,289,36656.9703715697,NA,36656.9703715697
"8122000"," Death Care Services",25376.4038695054,0,25376.4038695054,2791,NA,2791,2705,NA,2705,110,NA,110,2506,236,33252.4038695054,NA,33252.4038695054
"8123000"," Drycleaning and Laundry Services",29909.965069214,0,29909.965069214,1792,NA,1792,175,NA,175,44,NA,44,1410,251,33079.965069214,NA,33079.965069214
"8129000"," Other Personal Services",33926.1341779325,0,33926.1341779325,2698,NA,2698,48,NA,48,22,NA,22,2026,264,38456.1341779325,NA,38456.1341779325
"8130000"," ""Religious, Grantmaking, Civic, Professional, and",81069.7011252327,0,81069.7011252327,8340,0,8340,340,0,340,216,0,216,6054,588,95431.7011252327,NA,95431.7011252327
"8131000"," Religious Organizations",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"8132000"," Grantmaking and Giving Services",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"8133000"," Social Advocacy Organizations",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"8134000"," Civic and Social Organizations",1714.04553549745,0,1714.04553549745,57,NA,57,0,NA,0,0,NA,0,18,14,1775.04553549745,NA,1775.04553549745
"8139000"," ""Business, Professional, Labor, Political, and Si",79355.6555897353,0,79355.6555897353,8283,NA,8283,340,NA,340,216,NA,216,6036,574,93656.6555897353,NA,93656.6555897353
"8140000"," Private Households",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"8141000"," Private Households",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0
"92","Public Administration",0,8242289,8242289,0,0,0,0,0,0,0,0,0,0,NA,8242289,NA,8242289
"9210000"," ""Executive, Legislative, and Other General Govern",0,6664875,6664875,0,0,0,0,0,0,0,0,0,0,NA,6664875,NA,6664875
"9211000"," ""Executive, Legislative, and Other General Govern",0,6664875,6664875,0,NA,0,0,NA,0,0,NA,0,0,NA,6664875,NA,6664875
"9220000"," ""Justice, Public Order, and Safety Activities""",0,1577414,1577414,0,0,0,0,0,0,0,0,0,0,NA,1577414,NA,1577414
"9221000"," ""Justice, Public Order, and Safety Activities""",0,1577414,1577414,0,NA,0,0,NA,0,0,NA,0,0,NA,1577414,NA,1577414
"9230000"," Administration of Human Resource Programs",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"9231000"," Administration of Human Resource Programs",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0
"9240000"," Administration of Environmental Quality Programs",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"9241000"," Administration of Environmental Quality Programs",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0
"9250000"," ""Administration of Housing Programs, Urban Planni",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"9251000"," ""Administration of Housing Programs, Urban Planni",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0
"9260000"," Administration of Economic Programs",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"9261000"," Administration of Economic Programs",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0
"9270000"," Space Research and Technology",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"9271000"," Space Research and Technology",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0
"9280000"," National Security and International Affairs",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"9281000"," National Security and International Affairs",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0
