"concept","value"
"Total Households",1233490
"    Households with Computers",695798
"       With a Desktop/Laptop",556034
"            As % of Total Households",56.4088886006372
"       With a Handheld Computer",530919
"        With Other Computer Types",67129
"    Households without Computers",537692
"        As % of Total Households",5.44220058533105
