"concept","year","value"
"total_households","2013",1253690
"computer_desktoplaptop","2013",602666
"computer_handheld","2013",479828
"computer_other","2013",49569
"households_without_computer","2013",541587
"pct_with_desktoplaptop","2013",48.0713733060007
"pct_without_computer","2013",43.1994352670915
"total_households","2014",1233490
"computer_desktoplaptop","2014",556034
"computer_handheld","2014",530919
"computer_other","2014",67129
"households_without_computer","2014",537692
"pct_with_desktoplaptop","2014",45.0781116993247
"pct_without_computer","2014",43.5911113993628
