"year","naics_code","naics_title","variable","value"
"2012",511,"Publishing Industries (except Internet)","ICT_share","2.3%"
"2012",5111,"Newspaper, Periodical, Book, and Directory Publishers","ICT_share","0.0%"
"2012",517,"Telecommunications","ICT_share","5.9%"
"2012",518,"Data Processing, Hosting, and Related Services","ICT_share","21.1%"
"2012",5191,"Other Information Services","ICT_share","0.0%"
"2012",5413,"Architectural, Engineering, and Related Services","ICT_share","0.0%"
"2012",5414,"Specialized Design Services","ICT_share","0.0%"
"2012",5415,"Computer Systems Design and Related Services","ICT_share","38.7%"
"2012",5416,"Management, Scientific, and Technical Consulting Services","ICT_share","7.1%"
"2012",54171,"Research and Development in the Physical, Engineering, and Life Sciences","ICT_share","0.0%"
"2012",6114,"Business Schools and Computer and Management Training","ICT_share","0.0%"
"2012",6215,"Medical and Diagnostic Laboratories","ICT_share","0.0%"
"2012",6221,"General Medical and Surgical Hospitals","ICT_share","0.7%"
"2013",511,"Publishing Industries (except Internet)","ICT_share","2.1%"
"2013",5111,"Newspaper, Periodical, Book, and Directory Publishers","ICT_share","1.1%"
"2013",517,"Telecommunications","ICT_share","5.5%"
"2013",518,"Data Processing, Hosting, and Related Services","ICT_share","20.9%"
"2013",5191,"Other Information Services","ICT_share","0.0%"
"2013",5413,"Architectural, Engineering, and Related Services","ICT_share","0.0%"
"2013",5414,"Specialized Design Services","ICT_share","0.0%"
"2013",5415,"Computer Systems Design and Related Services","ICT_share","32.8%"
"2013",5416,"Management, Scientific, and Technical Consulting Services","ICT_share","4.4%"
"2013",54171,"Research and Development in the Physical, Engineering, and Life Sciences","ICT_share","0.0%"
"2013",6114,"Business Schools and Computer and Management Training","ICT_share","NA%"
"2013",6215,"Medical and Diagnostic Laboratories","ICT_share","0.0%"
"2013",6221,"General Medical and Surgical Hospitals","ICT_share","0.6%"
"2014",511,"Publishing Industries (except Internet)","ICT_share","4.3%"
"2014",5111,"Newspaper, Periodical, Book, and Directory Publishers","ICT_share","0.0%"
"2014",517,"Telecommunications","ICT_share","6.2%"
"2014",518,"Data Processing, Hosting, and Related Services","ICT_share","9.3%"
"2014",5191,"Other Information Services","ICT_share","0.0%"
"2014",5413,"Architectural, Engineering, and Related Services","ICT_share","0.0%"
"2014",5414,"Specialized Design Services","ICT_share","0.0%"
"2014",5415,"Computer Systems Design and Related Services","ICT_share","27.8%"
"2014",5416,"Management, Scientific, and Technical Consulting Services","ICT_share","4.6%"
"2014",54171,"Research and Development in the Physical, Engineering, and Life Sciences","ICT_share","0.0%"
"2014",6114,"Business Schools and Computer and Management Training","ICT_share","0.0%"
"2014",6215,"Medical and Diagnostic Laboratories","ICT_share","0.0%"
"2014",6221,"General Medical and Surgical Hospitals","ICT_share","0.5%"
