"concept","value"
"Total Households",1253690
"Households with an Internet Subscription",585087
"% with High-Speed Internet",96.7835552661399
"% with Low-Speed Internet",3.21644473386009
"Households with Internet Access, but No Subscription",46505
"Households without an Internet Connection",622098
