"concept","value"
"Total Households",1233490
"Households with an Internet Subscription",604929
"% with High-Speed Internet",98.0396046478182
"% with Low-Speed Internet",1.96039535218183
"Households with Internet Access, but No Subscription",43770
"Households without an Internet Connection",584791
