"","x"
"total_households",1233490
"households_with_internet",604929
"connect_dialup",11859
"nosubscription",43770
"households_without_internet",584791
"hholds_pct_hispeed",98.0396046478182
"hholds_pct_nohispeed",1.96039535218183
