"occupational_code","occupational_code_title","total_employment","annual_mean_wage"
"11-3021","Computer and Information Systems Managers",1030,"74680"
"15-1121","Computer Systems Analysts",1010,"51110"
"15-1122","Information Security Analysts",190,"47060"
"15-1131","Computer Programmers",1340,"44930"
"15-1132","Software Developers, Applications",320,"49620"
"15-1133","Software Developers, Systems Software",470,"66080"
"15-1134","Web Developers",90,"39860"
"15-1141","Database Administrators",400,"48510"
"15-1142","Network and Computer Systems Administrators",680,"46860"
"15-1143","Computer Network Architects",390,"49840"
"15-1151","Computer User Support Specialists",2850,"30000"
"15-1152","Computer Network Support Specialists",540,"39490"
"15-2041","Statisticians",250,"33150"
"17-2061","Computer Hardware Engineers",280,"75060"
"43-9011","Computer Operators",780,"23530"
"43-9021","Data Entry Keyers",2900,"20940"
