"year","concept","variable","value"
"2012","Utility","value",34
"2012","Design","value",5
"2012","Plant","value",0
"2012","Reissue","value",0
"2012","Total (less SIRs)","value",39
"2012","SIRs","value",0
"2012","Grand Total","value",39
"2013","Utility","value",19
"2013","Design","value",1
"2013","Plant","value",0
"2013","Reissue","value",0
"2013","Total (less SIRs)","value",20
"2013","SIRs","value",0
"2013","Grand Total","value",20
"2014","Utility","value",38
"2014","Design","value",3
"2014","Plant","value",0
"2014","Reissue","value",0
"2014","Total (less SIRs)","value",41
"2014","SIRs","value",0
"2014","Grand Total","value",41
