"CIP_code","CIP_desc","year","sum"
"14.0000","Engineering","2014",7939
"26.0000","Biological Sciences/Life Sciences","2014",14877
"27.0000","Mathematics","2014",598
"40.0000","Physical Sciences","2014",2832
