"CIP_code","CIP_desc","year","sum"
"14.0000","Engineering","2010",8273
"26.0000","Biological Sciences/Life Sciences","2010",13396
"27.0000","Mathematics","2010",552
"40.0000","Physical Sciences","2010",2730
