"level","first_second_major","cip_description","year","number"
"Bachelor","First major","Medical Illustration and Informatics",2012,0
"Bachelor","First major","Physical Sciences",2012,13
"Bachelor","First major","Science Technologies/Technicians",2012,2
"Doctor","First major","Biological and Biomedical Sciences",2012,5
"Doctor","First major","Biological and Physical Sciences",2012,0
"Doctor","First major","Communications Technologies/Technicians and Support Services, Other",2012,0
"Doctor","First major","Communications Technology/Technician",2012,0
"Doctor","First major","Computational Science",2012,0
"Doctor","First major","Computer and Information Sciences and Support Services",2012,1
"Doctor","First major","Electrical/Electronics Maintenance and Repair Technology",2012,0
"Doctor","First major","Engineering",2012,1
"Doctor","First major","Engineering Technologies and Engineering-related Fields",2012,0
"Doctor","First major","Human Computer Interaction",2012,0
"Doctor","First major","Mathematics and Computer Science",2012,0
"Doctor","First major","Mathematics and Statistics",2012,1
"Doctor","First major","Medical Illustration and Informatics",2012,0
"Doctor","First major","Natural Sciences",2012,0
"Doctor","First major","Physical Sciences",2012,2
"Doctor","First major","Precision Systems Maintenance and Repair Technologies",2012,0
"Doctor","First major","Science Technologies/Technicians",2012,0
"Doctor","First major","Science, Technology and Society",2012,0
"Master","First major","Computer and Information Sciences and Support Services",2012,9
"Master","First major","Engineering",2012,2
"Master","First major","Engineering Technologies and Engineering-related Fields",2012,3
"Master","First major","Biological and Biomedical Sciences",2012,6
"Master","First major","Mathematics and Statistics",2012,3
"Master","First major","Biological and Physical Sciences",2012,0
"Master","First major","Mathematics and Computer Science",2012,0
"Master","First major","Science, Technology and Society",2012,0
"Master","First major","Natural Sciences",2012,0
"Master","First major","Computational Science",2012,0
"Master","First major","Human Computer Interaction",2012,0
"Master","First major","Physical Sciences",2012,3
"Master","First major","Science Technologies/Technicians",2012,0
"Master","First major","Electrical/Electronics Maintenance and Repair Technology",2012,0
"Master","First major","Precision Systems Maintenance and Repair Technologies",2012,0
"Master","First major","Medical Illustration and Informatics",2012,0
"Bachelor","First major","Communications Technology/Technician",2013,1
"Bachelor","First major","Communications Technologies/Technicians and Support Services, Other",2013,0
"Bachelor","First major","Computer and Information Sciences and Support Services",2013,31
"Bachelor","First major","Engineering",2013,6
"Bachelor","First major","Engineering Technologies and Engineering-related Fields",2013,10
"Bachelor","First major","Biological and Biomedical Sciences",2013,26
"Bachelor","First major","Mathematics and Statistics",2013,9
"Bachelor","First major","Biological and Physical Sciences",2013,0
"Bachelor","First major","Mathematics and Computer Science",2013,0
"Bachelor","First major","Science, Technology and Society",2013,0
"Bachelor","First major","Natural Sciences",2013,6
"Bachelor","First major","Computational Science",2013,0
"Bachelor","First major","Human Computer Interaction",2013,0
"Bachelor","First major","Electrical/Electronics Maintenance and Repair Technology",2013,1
"Bachelor","First major","Precision Systems Maintenance and Repair Technologies",2013,0
"Bachelor","First major","Medical Illustration and Informatics",2013,0
"Bachelor","First major","Physical Sciences",2013,13
"Bachelor","First major","Science Technologies/Technicians",2013,2
"Doctor","First major","Biological and Biomedical Sciences",2013,5
"Doctor","First major","Biological and Physical Sciences",2013,0
"Doctor","First major","Communications Technologies/Technicians and Support Services, Other",2013,0
"Doctor","First major","Communications Technology/Technician",2013,0
"Doctor","First major","Computational Science",2013,0
"Doctor","First major","Computer and Information Sciences and Support Services",2013,1
"Doctor","First major","Electrical/Electronics Maintenance and Repair Technology",2013,0
"Doctor","First major","Engineering",2013,1
"Doctor","First major","Engineering Technologies and Engineering-related Fields",2013,0
"Doctor","First major","Human Computer Interaction",2013,0
"Doctor","First major","Mathematics and Computer Science",2013,0
"Doctor","First major","Mathematics and Statistics",2013,1
"Doctor","First major","Medical Illustration and Informatics",2013,0
"Doctor","First major","Natural Sciences",2013,0
"Doctor","First major","Physical Sciences",2013,2
"Doctor","First major","Precision Systems Maintenance and Repair Technologies",2013,0
"Doctor","First major","Science Technologies/Technicians",2013,0
"Doctor","First major","Science, Technology and Society",2013,0
"Master","First major","Communications Technology/Technician",2013,0
"Master","First major","Communications Technologies/Technicians and Support Services, Other",2013,0
"Master","First major","Computer and Information Sciences and Support Services",2013,9
"Master","First major","Engineering",2013,2
"Master","First major","Engineering Technologies and Engineering-related Fields",2013,3
"Master","First major","Biological and Biomedical Sciences",2013,6
"Master","First major","Mathematics and Statistics",2013,3
"Master","First major","Biological and Physical Sciences",2013,0
"Master","First major","Mathematics and Computer Science",2013,0
"Master","First major","Science, Technology and Society",2013,0
"Master","First major","Natural Sciences",2013,0
"Master","First major","Computational Science",2013,0
"Master","First major","Human Computer Interaction",2013,0
"Master","First major","Physical Sciences",2013,3
"Master","First major","Science Technologies/Technicians",2013,0
"Master","First major","Electrical/Electronics Maintenance and Repair Technology",2013,0
"Master","First major","Precision Systems Maintenance and Repair Technologies",2013,0
"Master","First major","Medical Illustration and Informatics",2013,0
