"naics_orig_from_list","naics_recode"
"5111","5111"
"5112","5112"
"517","517"
"518","518"
"51913","5191"
"5413","5413"
"5414","5414"
"5415","5415"
"5416","5416"
"541711","5417"
"541712","5417"
"61142","6114"
"62151","6215"
"6221","6221"
